modelo,var,tipo,gama,epsilon,FuncObj,HipePlan,status,media,tempo,num_variaveis,DefPos_A,DefPos_E,ProPos_A,ProPos_E,Indefi_A,Indefi_B,ProNeg_A,ProNeg_E,DefNeg_A,DefNeg_E,TaxDefPos_A,TaxDefPos_E,TaxProPos_A,TaxProPos_E,TaxInd_A,TaxInd_B,TaxProNeg_A,TaxProNeg_E,TaxDefNeg_A,TaxDefNeg_E,TP,FN,FP,TN,TPA,TPE,TNA,TNE,Acurácia,Precisão,Recall,F1_score
RGP_2.jl,A,sb,0.0,0.1,10.0,2.0,OPTIMAL,0.5,0.0014,53,2,1,0,0,1,2,0,0,2,2,0.67,0.33,NaN,NaN,0.33,0.67,NaN,NaN,0.5,0.5,3,2,1,4,0.6,0.4,0.8,0.2,0.7,0.75,0.6,0.67
RGP_2.jl,A,sb,1.0,0.1,10.0,2.4,OPTIMAL,0.5,0.0008,53,0,1,2,0,0,0,2,1,2,2,0.0,1.0,1.0,0.0,NaN,NaN,0.67,0.33,0.5,0.5,2,3,1,4,0.4,0.6,0.8,0.2,0.6,0.67,0.4,0.5
RGP_2.jl,A,sb,2.0,0.1,10.0,5.4,OPTIMAL,0.5,2,53,0,0,0,0,0,0,0,0,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_2.jl,A,sb,3.0,0.1,10.0,5.4,OPTIMAL,0.5,0.0029,53,0,0,0,0,0,0,0,0,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_2.jl,A,sb,4.0,0.1,10.0,5.4,OPTIMAL,0.5,0.0022,53,0,0,0,0,0,0,0,0,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0,5,0,5,0.0,1.0,1.0,0.0,0.5,NaN,0.0,NaN
RGP_2.jl,B,sb,0.0,0.1,0.0,-3.5,OPTIMAL,-0.75,0.0021,53,1,0,1,0,1,0,0,0,5,2,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,B,sb,1.0,0.1,0.0,-3.5,OPTIMAL,-0.75,0.0027,53,1,0,1,0,1,0,0,0,5,2,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,B,sb,2.0,0.1,0.0,-3.5,OPTIMAL,-0.75,0.0012,53,1,0,1,0,1,0,0,0,5,2,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,B,sb,3.0,0.1,0.0,-3.5,OPTIMAL,-0.75,0.0013,53,1,0,1,0,1,0,0,0,5,2,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,B,sb,4.0,0.1,0.0,-3.5,OPTIMAL,-0.75,0.0018,53,1,0,1,0,1,0,0,0,5,2,1.0,0.0,1.0,0.0,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,C,sb,0.0,0.1,0.0,1.0,OPTIMAL,0.5,0.0035,53,2,0,0,0,1,0,0,0,5,2,1.0,0.0,NaN,NaN,1.0,0.0,NaN,NaN,0.71,0.29,3,2,0,5,0.6,0.4,1.0,0.0,0.8,1.0,0.6,0.75
RGP_2.jl,C,sb,1.0,0.1,0.0,1.8000000000000007,OPTIMAL,0.5,0.0024,53,1,0,1,0,0,0,0,1,5,2,1.0,0.0,1.0,0.0,NaN,NaN,0.0,1.0,0.71,0.29,2,3,0,5,0.4,0.6,1.0,0.0,0.7,1.0,0.4,0.57
RGP_2.jl,C,sb,2.0,0.1,0.0,1.8000000000000007,OPTIMAL,0.5,0.0036,53,1,0,1,0,0,0,0,1,5,2,1.0,0.0,1.0,0.0,NaN,NaN,0.0,1.0,0.71,0.29,2,3,0,5,0.4,0.6,1.0,0.0,0.7,1.0,0.4,0.57
RGP_2.jl,C,sb,3.0,0.1,0.0,-4.5000000000000036,OPTIMAL,0.5,0.0035,53,3,0,1,0,0,0,0,1,5,0,1.0,0.0,1.0,0.0,NaN,NaN,0.0,1.0,1.0,0.0,4,1,0,5,0.8,0.2,1.0,0.0,0.9,1.0,0.8,0.89
RGP_2.jl,C,sb,4.0,0.1,0.0,-4.5000000000000036,OPTIMAL,0.5,0.0025,53,3,0,1,0,0,0,0,1,5,0,1.0,0.0,1.0,0.0,NaN,NaN,0.0,1.0,1.0,0.0,4,1,0,5,0.8,0.2,1.0,0.0,0.9,1.0,0.8,0.89
RGP_2.jl,D,sb,0.0,0.1,10.0,2.0,OPTIMAL,0.5,0.0016,53,2,1,0,0,1,2,0,0,2,2,0.67,0.33,NaN,NaN,0.33,0.67,NaN,NaN,0.5,0.5,3,2,1,4,0.6,0.4,0.8,0.2,0.7,0.75,0.6,0.67
RGP_2.jl,D,sb,1.0,0.1,10.0,2.4,OPTIMAL,0.5,0.0015,53,0,1,2,0,0,0,2,1,2,2,0.0,1.0,1.0,0.0,NaN,NaN,0.67,0.33,0.5,0.5,2,3,1,4,0.4,0.6,0.8,0.2,0.6,0.67,0.4,0.5
RGP_2.jl,D,sb,2.0,0.1,10.0,3.2,OPTIMAL,0.5,0.0023,53,0,0,0,1,0,0,0,2,4,3,NaN,NaN,0.0,1.0,NaN,NaN,0.0,1.0,0.57,0.43,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_2.jl,D,sb,3.0,0.1,10.0,3.2,OPTIMAL,0.5,0.0013,53,0,0,0,1,0,0,0,2,4,3,NaN,NaN,0.0,1.0,NaN,NaN,0.0,1.0,0.57,0.43,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
RGP_2.jl,D,sb,4.0,0.1,10.0,3.2,OPTIMAL,0.5,0.0024,53,0,0,0,1,0,0,0,2,4,3,NaN,NaN,0.0,1.0,NaN,NaN,0.0,1.0,0.57,0.43,0,5,1,4,0.0,1.0,0.8,0.2,0.4,0.0,0.0,NaN
